search_word,users,total_events,unique_events
2000 to 2019,4,7,5
shupe,4,16,15
Ice thickness,4,5,4
bathymetric data,4,4,4
GISP2,4,5,4
2019,4,5,4
2011 to 2014,4,4,4
GIS,4,4,4
2010,4,8,4
2017,4,8,4
woodgate,4,7,6
stafford,4,6,6
seismic,4,4,4
zona,4,7,7
energy,4,4,4
Donald A. Walker,4,7,5
2002 to 2019,4,4,4
1994 to 2020,4,4,4
military,4,5,4
Dr. Matt Nolan,4,6,4
1800 to 2018,4,4,4
2000 to 2016,4,4,4
core,4,8,5
2014 to 2015,4,4,4
Vladimir E. Romanovsky,4,6,5
2020 to 2019,4,5,5
heather alexander,4,6,5
"Summit Station, Greenland",4,5,4
2017 to 2018,4,4,4
1998 to 2016,4,4,4
2005 to 2020,4,4,4
Permafrost,4,4,4
CO2 flux,4,7,5
ocean,4,5,5
Sue Moore,4,4,4
HLY1702,4,5,4
Igor Polyakov,4,9,8
1992 to 2020,4,4,4
phenology,4,4,4
2009 to 2010,4,4,4
Ouyang,4,4,4
2016 to 2017,4,7,5
Cooper,4,4,4
2007 to 2016,4,4,4
Lee W. Cooper,4,17,16
1995 to 2020,4,4,4
Barrow,4,6,6
miller,4,7,7
stratigraphy,4,4,4
kholodov,4,14,13
dem,4,4,4
2012 to 2013,4,5,5
portal,4,4,4
1801 to 2020,4,4,4
firn aquifer,4,6,4
itex,4,5,5
shorebird,4,14,13
vargas,4,7,6
CALON,4,10,9
Chukchi,4,4,4
2002 to 2018,4,4,4
ludwig,4,5,5
2011 to 2015,4,4,4
1999 to 2018,4,4,4
flux,4,4,4
Rennermalm,4,4,4
Beaufort,4,4,4
2018 to,4,4,4
perovich,4,4,4
2008 to 2008,4,4,4
interview,4,5,5
nagap,4,6,4
velocity,4,5,4
Arctic Ecology,4,4,4
2018,4,7,5
degrandpre,4,7,4
calm,4,5,4
vector,3,3,3
Mejia,3,3,3
1988 to 2019,3,3,3
PERMAFROST,3,4,4
algae,3,3,3
glisn,3,3,3
ndvi,3,5,5
shp,3,3,3
Sue E. Moore,3,5,3
1999 to 2019,3,3,3
Helheim,3,4,4
laurier,3,6,5
bonsell,3,4,4
nolan,3,4,3
sergio,3,8,8
pickart,3,6,5
NEEM,3,4,4
shapefile,3,5,4
ice cover,3,4,3
kml,3,3,3
taku glacier,3,6,6
sermilik,3,3,3
sensor,3,3,3
1989 to 2020,3,3,3
Steven F. Oberbauer,3,5,5
SHEBA,3,6,3
sea ice thickness,3,5,4
Donatella Zona,3,4,3
spatial,3,5,4
1991 to 2018,3,3,3
svalbard,3,4,4
shiklomanov,3,4,4
Lee Cooper,3,3,3
gps,3,3,3
thaw,3,4,4
Andreas Muenchow,3,4,4
plant,3,3,3
Jason Stuckey,3,4,4
bottle,3,6,6
sergio vargas,3,4,4
ozone,3,5,4
plastic,3,3,3
salmon,3,3,3
pettersen,3,4,4
cable,3,3,3
McLaren,3,3,3
fjord,3,4,3
mccall,3,3,3
2007 to 2013,3,3,3
social science,3,3,3
DBO5,3,3,3
petermann,3,5,3
david holland,3,3,3
SUMup density Greenland,3,3,3
Petrov,3,3,3
iron,3,4,4
water isotope,3,5,4
Christopher Arp,3,4,4
2020,3,3,3
vandecrux,3,3,3
dbo,3,5,3
mcconnell,3,3,3
2012,3,4,3
firn,3,4,4
viper,3,3,3
turbulence,3,3,3
beard,3,4,3
seals,3,5,4
wind,3,6,3
Kemnitz,3,3,3
carbon flux,3,4,4
2006 to 2021,3,3,3
hydrology,3,3,3
uav,3,3,3
nc,3,5,5
water table depth,3,4,3
akers,3,5,4
Beaufort Gyre Exploration Project,3,4,4
Natali,3,5,5
2014,3,7,3
thermal,3,3,3
1990 to 2019,3,3,3
polashenski,3,5,4
tweedie,3,3,3
lapham,3,3,3
Healy,3,3,3
Matrai,3,3,3
snow water equivalent,3,6,5
MISP,3,6,6
cory,3,3,3
Oberbauer,3,4,3
Sullivan,3,4,4
paulson,3,6,6
2011 to 2017,3,3,3
straneo,3,4,3
1800 to 2010,3,3,3
austin post,3,5,3
river,3,3,3
hooper bay,3,3,3
1986 to 2020,3,3,3
Rodrigo,3,5,5
melt pond,3,3,3
2011,3,5,3
Donald Walker,3,5,4
crump,3,5,3
Simpson,3,3,3
anaktuvuk,3,4,3
Stafford,3,3,3
stuefer,3,3,3
1987 to 2020,3,3,3
2009 to 2013,3,3,3
radar,3,3,3
1806213,3,4,4
ToolikGIS,3,3,3
carbon dioxide,3,5,3
summit station,3,10,6
Donald A Walker,3,3,3
Imnavait,3,4,4
steele,3,3,3
Atqasuk,3,8,5
elevation,3,3,3
Distributed Biological Observatory,3,3,3
robert hollister,3,7,6
hajo,3,4,3
Robert Hollister,3,6,5
Campbell,3,3,3
1998 to 2017,3,4,4
2014 to 2017,3,5,3
1805 to 2020,3,3,3
ARCSS,3,4,4
2008 to,3,3,3
HLY,3,3,3
CO2,3,3,3
LTER,3,10,9
"Beaufort Sea, Arctic Ocean",3,3,3
Greenland Summit,3,3,3
2010 to 2015,3,3,3
turbidity,3,4,4
north pole,3,4,4
co2,3,4,3
sizonet,3,5,3
padman,3,3,3
tanana,3,3,3
pressure,3,8,5
1920 to 2019,3,3,3
Dunton,3,3,3
Hewitt,3,4,4
Kholodov,3,6,6
russia,3,3,3
rennermalm,3,5,5
1623461,3,4,3
paleoclimate,3,4,3
currents,3,3,3
2016,3,9,4
moulin,3,4,4
2001 to 2018,3,3,3
2008 to 2013,3,3,3
jpg,3,3,3
mosaic,3,3,3
canada,3,4,4
GPS,3,5,4
polaris,3,3,3
CTD ocean cast,3,16,15
microbial,3,4,3
temp,3,4,4
2008 to 2009,2,2,2
lakes,2,2,2
patrick sullivan,2,4,3
Parr,2,2,2
ice_thickness,2,2,2
Distributed Biological Observatory (DBO),2,2,2
thermal state of permafrost,2,2,2
aofb,2,3,3
hly,2,3,2
DBO2,2,4,2
http://purl.dataone.org/odo/ECSO_00001523,2,2,2
macroinfauna,2,3,3
1723308,2,3,3
Distributed Biological,2,2,2
report card,2,2,2
heavy metals,2,2,2
ruby,2,2,2
TUNU,2,4,3
amaral,2,3,3
umbanhowar,2,2,2
1807 to 2020,2,3,2
toolik lake,2,3,3
Amanda B. Young,2,2,2
shrub,2,4,3
cover,2,4,3
DBO4,2,2,2
extent,2,4,2
2010 to 2011,2,2,2
conductivity,2,2,2
species,2,3,2
ammonia,2,2,2
fox,2,2,2
pribilof,2,2,2
1996 to 2016,2,2,2
http://purl.dataone.org/odo/ECSO_00002503,2,2,2
Models/Analyses,2,2,2
1985 to 2020,2,2,2
