event_label,users,total_events,unique_events
GCMS,102,102,102
CO2 emissions,57,60,60
temperature,55,66,62
CO2,51,53,52
fundingOrganization,49,49,49
carbon dioxide,47,56,51
permafrost,46,79,62
carbon,39,58,48
co2,36,47,42
publish,32,32,32
2016 to 2017,29,56,39
DBO,28,48,43
sea ice,25,32,26
soil,25,29,28
2017 to 2018,25,47,31
CDIAC,24,45,39
methane,21,36,27
2018 to 2018,21,26,22
snow,20,25,25
2016 to 2018,19,28,21
2015 to 2017,18,26,20
global,18,20,19
ice,18,23,22
cdiac,17,21,21
ice core,17,17,17
2017 to 2017,17,29,25
flux,16,30,21
arctic,16,18,16
emissions,16,20,17
ludwig,16,53,28
vargas,15,37,29
romanovsky,15,25,22
2010 to 2017,15,18,16
Emissions,15,15,15
carbon dioxide emission estimates,15,15,15
greenland,14,16,16
alaska,14,16,15
glacier,13,15,14
mcraven,13,31,18
2014 to 2017,13,14,13
Global,13,14,14
biomass,12,16,14
summit,12,15,14
ricketts,12,34,33
2016 to 2016,12,19,15
mar,12,13,12
soil temperature,12,17,16
Greenland,12,15,15
1841 to 2017,11,25,17
Carbon Dioxide,11,12,11
vostok,11,19,16
Jacqueline M. Grebmeier,11,35,28
Alaska,11,12,11
boden,11,11,11
tedesco,11,24,17
co2 emissions,11,12,11
vegetation,10,11,11
stafford,10,14,14
Igor Polyakov,10,11,10
2013 to 2018,10,18,11
2010 to 2018,10,15,11
AGAGE,9,31,26
Arp,9,17,16
austin post,9,16,14
co2 flux,9,38,31
2013 to 2017,9,10,9
carbon dioxide flux,9,28,23
model,9,12,10
mayer,9,28,22
carbon flux,9,31,21
TTO,9,22,21
precipitation,9,13,11
polaris,9,11,11
Vladimir E. Romanovsky,9,10,9
shupe,9,16,15
2007 to 2017,9,10,10
fossil-fuel CO2 emissions,9,10,10
caribou,8,12,10
2000 to 2018,8,9,8
emission,8,10,10
oberbauer,8,10,10
bathymetry,8,10,8
2011 to 2017,8,9,9
borehole,8,15,13
grebmeier,8,9,9
sergio vargas,8,12,10
2014 to 2018,8,14,10
1800 to 2018,8,10,9
salinity,8,10,9
miller,8,14,14
2009 to 2017,8,8,8
2012 to 2017,8,12,9
CTD,8,10,9
dbo,8,16,9
wind,8,8,8
carbon emission,8,8,8
1998 to 2017,8,10,9
Atmospheric CO2 Concentrations,8,9,8
1850 to 2017,7,7,7
2005 to 2017,7,7,7
2008 to 2017,7,9,8
2010 to 2015,7,8,7
shipping,7,9,7
mammal,7,8,8
eddy covariance,7,12,11
doi:10.18739/A20G68,7,26,22
MAR,7,9,7
Fossil-Fuel CO2 Emissions,7,7,7
fossil fuels,7,24,15
.nc,7,10,10
noone,7,19,14
arp,7,10,10
2014 to 2015,7,10,9
"Global, Regional, and National Fossil-Fuel CO2 Emissions",7,9,8
ICECAPS,7,9,8
SUMO,7,19,13
1996 to 2017,7,8,8
