Page,Users,Sessions,Pageviews,Unique Pageviews,Bounce Rate,Entrances,Users % of Total
/,5117,6830,8488,7331,0.525183016,6832,0.480469
/catalog,1932,956,5077,3558,0.271966527,888,0.330939
/catalog/data,1300,1484,5770,3189,0.233153639,1436,0.261315
/about/,579,222,773,669,0.621621622,223,0.209577
/catalog/view/doi:10.18739/A24M9198B,404,463,533,472,0.833693305,463,0.175249
/team/,328,127,576,433,0.724409449,127,0.151174
/catalog/profile,326,65,486,408,0.538461538,61,0.13395
/submit/,321,208,535,427,0.721153846,208,0.120974
/training/,305,190,547,407,0.657894737,190,0.110715
/catalog/portals/permafrost/,265,308,434,346,0.762987013,308,0.102131
/publications/,245,102,326,276,0.774509804,103,0.094938
/catalog/share,240,209,572,469,0.449760766,191,0.088905
/data-plans/,223,153,265,245,0.862745098,153,0.083676
/catalog/submit,195,97,537,389,0.556701031,97,0.079007
/reconciling-historical-and-contemporary-trends-in-terrestrial-carbon-exchange-of-the-northern-permafrost-zone/,174,244,325,281,0.803278689,244,0.074829
/home.htm,167,181,202,181,0.651933702,181,0.071133
/catalog/data/my-data,158,48,631,398,0.083333333,49,0.067821
/q-and-a/,157,46,203,185,0.847826087,46,0.064872
/dataset-highlights/,144,32,250,184,0.71875,32,0.06217
/support/,127,20,176,145,0.9,20,0.059657
/january-2019-data-science-training-for-arctic-researchers/,109,77,151,131,0.623376623,77,0.057304
/history/,103,26,121,111,0.730769231,26,0.055139
/news/2019/01/2019-arctic-data-center-data-science-trainings/,103,17,132,112,0.647058824,17,0.053162
/employment-opportunities/,101,42,137,116,0.904761905,42,0.051342
/synthesis-working-groups/,97,36,134,112,0.833333333,37,0.049653
/catalog/view/doi:10.18739/A2JH3D23R,97,110,145,125,0.718181818,110,0.048093
/category/news/,95,45,153,119,0.755555556,45,0.046642
/dataset-highlight-investigating-rotten-ice-with-dr-karen-junge/,92,90,98,93,0.788888889,90,0.045285
/catalog/signin,90,1,140,135,0,1,0.044015
/preservation/,85,37,110,97,0.756756757,37,0.042814
/catalog/view/doi:10.18739/A20P0WQ7M,82,86,127,103,0.744186047,86,0.041681
/proposals/,82,38,92,87,0.842105263,38,0.040619
/catalog/view/doi:10.18739/A25T3FZ8X,75,95,147,109,0.484210526,95,0.039602
/february-2019-data-science-training-for-arctic-researchers/,61,9,85,68,0.555555556,9,0.038605
/catalog/data/page/2,59,14,107,73,0.428571429,13,0.037661
/2018-data-science-training-for-arctic-researchers/,55,50,64,62,0.64,50,0.036758
/catalog/view/doi:10.18739/A2CD5M,54,73,100,87,0.698630137,73,0.035902
/catalog/portals/permafrost,53,37,94,75,0.783783784,37,0.035088
/uncategorized/2017/08/data-science-opportunities/,52,6,63,57,0.666666667,6,0.034313
/catalog/view/doi:10.18739/A21C1TF69,47,51,92,70,0.784313725,52,0.033566
/catalog/view/doi:10.18739/A26D5PB2S,45,36,65,54,0.722222222,37,0.03285
/catalog/view/doi:10.18739/A2KG55,45,44,53,47,0.840909091,44,0.032169
/catalog/view/doi:10.18739/A28P5V92S,43,37,46,44,0.945945946,37,0.031514
/catalog/view/doi:10.18739/A2DR2P790,43,27,52,45,0.777777778,27,0.03089
/catalog/view/doi:10.18739/A2TM72117,41,58,98,79,0.775862069,58,0.030289
/catalog/view/doi:10.18739/A2S46H57S,39,92,140,110,0.793478261,91,0.02971
/catalog/view/doi:10.18739/A2B853H78,39,28,50,45,0.821428571,28,0.029156
/catalog/view/doi:10.5065/D69G5JX5,38,56,68,57,0.821428571,56,0.028623
/dataset-highlight-data-provenance-and-arctic-soil-bacteria/,38,22,50,42,0.636363636,22,0.028112
/catalog/view/doi:10.18739/A2VC2G,37,41,46,42,0.756097561,41,0.027619
/catalog/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/560/4,36,52,76,56,0.346153846,52,0.027144
/uncategorized/2019/11/researcher-profi…hts-october-2019/,35,35,35,35,0.971428571,35,0.026685
/catalog/view/doi:10.18739/A2B56D46X,35,35,55,47,0.771428571,35,0.026243
/catalog/view/doi:10.5065/D66Q1VB7,34,61,78,61,0.672131148,58,0.025816
/catalog/view/doi:10.18739/A20298,34,26,46,42,0.846153846,27,0.025405
/catalog/data/mode=list,33,2,71,52,1,2,0.025007
/catalog/view/doi:10.18739/A2G27V,32,26,62,51,0.576923077,26,0.024621
/blog/2019/11/arctic-data-centers-data-science-training/,32,30,76,48,0.833333333,30,0.024248
/catalog/view/doi:10.18739/A2VQ2S94D,32,45,92,68,0.733333333,44,0.023888
/catalog/view/doi:10.18739/A2K35MD3N,31,21,45,37,0.714285714,21,0.023538
/catalog/view/doi:10.18739/A2BZ61825,31,28,48,38,0.857142857,28,0.0232
/dataset-highlight-discovering-the-connections-between-mountain-glaciers-and-arctic-groundwater-with-dr-anna-liljedahl/,30,24,39,34,0.75,24,0.022871
/catalog/view/doi:10.5065/D6DV1H19,29,47,52,48,0.70212766,47,0.022552
/news/2017/08/employment-opportunities/,29,10,31,29,0.8,10,0.022242
/projects/,29,29,42,30,0.482758621,30,0.021941
/catalog/view/doi:10.18739/A2FX73Z0Z,28,18,43,33,0.611111111,18,0.021649
/catalog/projects/DBO,27,52,139,79,0.461538462,52,0.021364
/news/2019/07/call-for-abstracts-third-polar-data-forum-pdf-iii/,26,9,29,28,1,9,0.021085
/catalog/view/doi:10.18739/A2V40JZ6C,26,19,34,31,0.526315789,19,0.020815
/catalog/view/urn:uuid:517b8679-20db-4c89-a29c-6410cbd08afe,25,23,49,37,0.695652174,23,0.020551
/catalog/portals/permafrost/About,25,33,75,50,0.787878788,33,0.020295
/catalog/data/page/3,25,1,30,27,0,1,0.020046
/catalog/view/doi:10.18739/A2FF3M027,24,18,42,31,0.555555556,18,0.019802
/catalog/view/doi:10.18739/A2TH8BM6X,24,31,54,40,0.741935484,32,0.019565
/catalog/view/doi:10.18739/A21R9G,24,37,89,55,0.567567568,37,0.019334
/catalog/view/doi:10.18739/A2G15TB05,24,14,44,35,0.357142857,13,0.019109
/catalog/view/doi:10.18739/A2RF5KF5N,24,16,47,31,0.625,17,0.01889
/catalog/view/doi:10.5065/D6N014HK,23,26,29,27,0.807692308,25,0.018676
/catalog/view/doi:10.18739/A2WS8HK6X,23,15,36,28,0.733333333,15,0.018467
/?page_id=1533,23,0,30,24,null,0,0.018263
/dataset-highlight-dissolved-organic-carbon-with-dr-rose-cory/,23,13,27,24,0.846153846,13,0.018064
/catalog/view/doi:10.18739/A2S17SS1M,23,20,27,24,0.75,20,0.01787
/catalog/view/doi:10.18739/A2VT1GP7Q,23,33,52,40,0.545454545,33,0.017681
/category/blog/,22,7,132,44,0.428571429,7,0.017495
/catalog/view/doi:10.18739/A2X921J1G,22,7,36,28,0.857142857,8,0.017313
/catalog/view/doi:10.18739/A2CR5NC1B,22,18,41,30,0.5,18,0.017136
/catalog/view/doi:10.18739/A2D79596Q,22,17,29,27,0.764705882,17,0.016963
/catalog/view/doi:10.18739/A21Z41S5S,22,15,48,26,0.666666667,15,0.016794
/catalog/view/urn:uuid:8009cc13-08d5-4bb2-ad9a-dc0f5dbfbcd0,21,11,29,24,0.818181818,11,0.016627
/catalog/api,21,19,35,33,0.684210526,19,0.016464
/catalog/view/urn:uuid:0bb9fd5a-1ea1-4253-9c84-fc5289c16c6f,21,12,37,25,0.333333333,12,0.016305
/catalog/view/doi:10.18739/A26T0GW17,21,9,43,34,0.777777778,9,0.016149
/catalog/view/doi:10.18739/A26S1B,21,36,48,39,0.833333333,37,0.015997
/catalog/view/doi:10.18739/A2B56D44Z,20,27,35,32,0.851851852,27,0.015847
/dataset-highlight-phenological-mismatch-in-the-arctic-with-dr-kathy-kelsey/,19,11,21,19,0.727272727,11,0.015699
/catalog/quality/doi:10.18739/A24B2X46G,19,36,97,53,0.527777778,36,0.015554
/catalog/view/urn:uuid:3ce6caa8-bede-4047-8baf-c6d38e45c1d5,19,16,44,32,0.6875,16,0.015412
/catalog/view/doi:10.18739/A2985M,19,23,35,24,0.608695652,22,0.015273
/catalog/view/doi:10.18739/A28S4JP15,19,13,44,24,0.538461538,14,0.015136
/catalog/view/urn:uuid:9ae08ae7-f340-4c3e-8cd2-425154c2a435,19,5,40,31,0.8,5,0.015003
/catalog/view/urn:uuid:1b96e994-20a1-4445-a327-3256c040034f,18,27,45,28,0.296296296,27,0.014871
/download/fileDownload.htm,18,18,18,18,1,18,0.014742
/catalog/view/doi:10.18739/A2N872Z96,18,17,43,29,0.529411765,17,0.014615
/catalog/view/urn:uuid:46789d94-7c12-4d9f-9e62-7f90f7918219,18,3,36,26,0.333333333,3,0.014491
/catalog/view/doi:10.18739/A22Z12P4J,18,12,30,22,0.5,12,0.014369
/dataset-highlight-subsistence-harvests-in-alaskan-communities-along-the-bering-sea-with-dr-james-fall/,18,11,25,19,0.727272727,11,0.014249
/catalog/view/urn:uuid:51a93676-d46d-4519-83fb-008da7b83cde,18,14,64,38,0.357142857,14,0.014132
/catalog/view/doi:10.18739/A2408F,17,11,33,23,0.545454545,12,0.014016
/catalog/view/doi:10.18739/A2JD4PP1H,17,8,30,25,0.625,8,0.013902
/catalog/view/doi:10.18739/A2P55DG5N,17,10,26,23,0.6,10,0.01379
/catalog/view/doi:10.18739/A2Z60C20C,17,13,23,18,0.615384615,13,0.01368
/catalog/view/doi:10.18739/A2222R601,17,13,32,23,0.769230769,13,0.013572
/catalog/view/doi:10.18739/A2D79598P,17,14,26,17,0.642857143,15,0.013466
/catalog/view/doi:10.18739/A2FC5W,17,15,25,22,0.6,15,0.013362
/catalog/view/urn:uuid:0ec88715-fa58-4af0-82aa-44e76347ed72,17,10,30,21,0.6,10,0.01326
/catalog/view/urn:uuid:91b899b5-9ade-4d6e-b8fa-94219cfefeea,16,2,29,19,0,2,0.013158
/catalog/view/doi:10.18739/A27N5S,16,15,18,17,0.933333333,15,0.013059
/catalog/view/doi:10.18739/A2556Q,16,11,28,26,0.727272727,11,0.012961
/catalog/view/doi:10.18739/A27H1DM79,16,7,49,35,0.714285714,7,0.012865
/catalog/view/doi:10.18739/A2D08X,16,17,29,24,0.823529412,17,0.01277
/catalog/view/doi:10.18739/A2Z60C21V,16,13,22,21,0.846153846,13,0.012677
/catalog/view/doi:10.18739/A2DJ58G4T,16,3,30,18,0,3,0.012585
/catalog/view/doi:10.18739/A2J38KH4W,16,10,25,19,0.4,10,0.012495
/catalog/view/doi:10.18739/A2RV0D08F,16,1,22,22,1,2,0.012406
/catalog/view/doi:10.18739/A27M0405M,16,12,32,24,0.416666667,12,0.012319
/catalog/view/doi:10.18739/A28C6Q,15,16,32,23,0.75,16,0.012233
/catalog/view/doi:10.18739/A28C9R366,15,13,23,17,0.461538462,13,0.012147
/catalog/view/doi:10.18739/A24X54G9W,15,11,34,24,0.454545455,11,0.012064
/catalog/view/urn:uuid:f971cf25-ed73-412d-bd52-98f84b3845c0,15,13,35,29,0.538461538,13,0.011981
/download/fileDownload.htm?logicalFileId=117c6ccd-f9d3-11e4-9365-00c0f03d5b7c,15,16,19,16,0.75,16,0.0119
/catalog/view/doi:10.5065/D6JH3J7Z,15,17,40,31,0.764705882,17,0.01182
/catalog/view/doi:10.18739/A2610VR7Z,15,1,21,18,1,1,0.011741
/catalog/view/doi:10.18739/A22274,15,13,30,22,0.615384615,13,0.011663
/catalog/view/doi:10.18739/A2V11VK4J,15,13,33,26,0.538461538,13,0.011586
/catalog/view/doi:10.18739/A2WW76Z78,15,8,25,19,1,8,0.011511
/catalog/view/doi:10.18739/A25T3G03C,15,11,22,15,0.636363636,11,0.011437
/catalog/view/doi:10.18739/A2W37KW0M,15,7,24,19,0.714285714,7,0.011364
/catalog/view/doi:10.18739/A2GX44T8M,14,4,21,17,1,4,0.011291
/catalog/view/doi:10.18739/A2J09W41K,14,3,24,18,0,3,0.011219
/catalog/view/doi:10.18739/A2CN6XZ7H,14,9,31,19,0.555555556,9,0.011148
/catalog/view/doi:10.18739/A2MV9S,14,4,20,20,0.25,4,0.011078
/catalog/view/doi:10.18739/A2NP1WJ27,14,1,21,15,1,1,0.01101
/catalog/view/urn:uuid:df1eace5-4dd7-4517-a985-e4113c631044,14,18,39,30,0.833333333,18,0.010942
/catalog/,14,12,22,17,0.666666667,12,0.010875
/catalog/view/doi:10.18739/A26P32,14,2,23,16,0,2,0.010809
/catalog/view/doi:10.18739/A2DR2P85H,14,4,22,16,0.25,4,0.010744
/catalog/view/doi:10.5065/D61J97TT,14,13,23,21,0.615384615,11,0.01068
/catalog/view/urn:uuid:2ffc007d-73d3-40a2-b583-4fae55a65647,14,2,27,16,0.5,3,0.010617
/catalog/view/doi:10.18739/A23K4G,14,3,24,24,0.333333333,3,0.010554
/catalog/view/urn:uuid:b5fd55a5-7e97-4b83-acf8-81946ee26616,14,6,25,21,0.666666667,7,0.010493
/catalog/view/doi:10.18739/A21G0HT84,14,6,30,19,0.833333333,6,0.010432
/catalog/view/doi:10.18739/A28W3824W,14,3,23,18,0.333333333,3,0.010372
/catalog/view/doi:10.18739/A2348GG12,14,12,32,16,0.666666667,12,0.010313
/catalog/view/doi:10.18739/A2V935,14,12,19,17,0.833333333,12,0.010254
/catalog/view/doi:10.18739/A2R20RW3W,13,12,26,20,0.75,12,0.010196
/catalog/view/doi:10.18739/A27W67535,13,4,17,16,0.75,4,0.010138
/catalog/view/doi:10.18739/A22G44,13,13,21,16,0.615384615,13,0.010082
/news/2018/08/call-for-applicants-january-2019-data-science-training/,13,8,15,13,0.875,8,0.010026
/catalog/view/urn:uuid:5ea936e9-862b-42d7-89cf-17a38473e7a8,13,5,18,16,0.8,5,0.00997
/catalog/view/doi:10.18739/A2C824D80,13,17,32,22,0.529411765,17,0.009915
/catalog/view/urn:uuid:19c12630-0dc1-401d-a0d8-aadf031f6ee4,13,2,17,16,1,2,0.009861
/catalog/view/doi:10.18739/A2445HC19,13,2,20,14,0.5,2,0.009808
/catalog/view/doi:10.18739/A2H12V70D,13,13,22,18,0.769230769,13,0.009755
/catalog/view/doi:10.18739/A2DG13,13,8,20,18,0.875,8,0.009703
/dataset-highlight-exploring-the-energy-clouds-atmosphere-and-precipitation-in-summit-greenland-through-icecaps-with-dr-matthew-shupe/,13,8,13,13,0.625,8,0.009652
/catalog/view/doi:10.18739/A2D50FX41,13,1,16,14,1,1,0.009601
/catalog/view/doi:10.18739/A27659F58,13,4,23,20,0.75,4,0.009551
/catalog/view/doi:10.18739/A2ZW18R87,13,4,21,16,0.75,4,0.009501
/catalog/view/urn:uuid:3ac43577-e370-489a-a363-a66aaf58a701,13,4,24,19,0.75,4,0.009452
/catalog/view/doi:10.18739/A2WH2DD7W,13,15,25,20,0.733333333,15,0.009404
/catalog/view/doi:10.18739/A29S1KK0X,13,1,18,14,0,1,0.009356
/american-geophysical-union-2018-fall-meeting/,13,11,14,14,0.909090909,11,0.009309
/catalog/projects/DBO/data,13,7,51,24,0.571428571,7,0.009262
"/catalog/profile/CN=DBO,DC=dataone,DC=org",13,11,25,17,0.363636364,9,0.009216
/catalog/view/doi:10.18739/A2280J,13,15,20,18,0.8,15,0.00917
/catalog/view/doi:10.18739/A2VM42X4H,12,0,21,14,null,0,0.009125
/catalog/view/urn:uuid:a4f04016-8b28-4523-9575-036829ddd4db,12,4,23,18,0.5,4,0.009079
/catalog/view/doi:10.18739/A29K97,12,10,13,13,0.8,10,0.009035
/catalog/view/urn:uuid:47ee412c-b7f2-4093-812b-13c54c0b0884,12,0,31,17,null,0,0.00899
/catalog/view/doi:10.18739/A21J9774C,12,6,21,13,0.666666667,6,0.008947
/catalog/view/doi:10.18739/A2X54S,12,10,46,29,0.6,10,0.008904
/catalog/view/doi:10.18739/A2HT2GB80,12,1,17,13,1,1,0.008861
/catalog/view/doi:10.18739/A2FJ29C5J,12,1,15,13,0,1,0.008819
/catalog/view/urn:uuid:223d872e-ad5b-484e-800e-24d3230f5c43,12,2,18,14,0.5,2,0.008777
/catalog/view/urn:uuid:0c9df244-d54b-4ac3-bf34-d424ee108b59,12,6,16,14,0.833333333,6,0.008735
/catalog/view/urn:uuid:e58b2369-0701-4dac-b3c6-b8e15a0cd187,12,5,20,14,0.8,5,0.008695
/catalog/view/doi:10.18739/A2KW57H4V,12,4,19,15,0.5,4,0.008654
/catalog/view/doi:10.18739/A2ZC7RT62,12,6,16,14,0.833333333,6,0.008614
/catalog/view/urn:uuid:d2775281-3231-47d0-ab79-b2e506ea8d04,12,10,29,20,0.6,10,0.008574
/catalog/view/doi:10.18739/A2CF9J637,12,2,19,13,0.5,2,0.008535
/catalog/view/doi:10.18739/A2N872Z77,12,4,33,26,0.5,4,0.008496
/catalog/view/doi:10.18739/A2N00ZS8T,12,6,17,14,0.666666667,6,0.008458
/catalog/view/doi:10.18739/A2VM42X50,12,4,15,15,0.75,4,0.00842
/catalog/portals/permafrost/News,12,1,27,21,0,1,0.008382
/catalog/view/doi:10.18739/A2NV99977,11,3,19,13,1,4,0.008345
/catalog/view/urn:uuid:6333a88b-1606-43d5-8f98-eb5fd40998e1,11,0,20,14,null,0,0.008307
/catalog/view/urn:uuid:22c70e66-1f57-48d4-b3f1-66ecc2de9dd9,11,0,17,13,null,0,0.008271
/catalog/view/doi:10.18739/A2N29P63K,11,5,14,12,0.8,6,0.008234
/catalog/view/doi:10.18739/A28Q18,11,9,16,15,0.555555556,9,0.008198
/catalog/view/doi:10.18739/A2222R550,11,6,16,14,0.833333333,6,0.008162
/training_july2017/,11,5,11,11,1,5,0.008127
/polar-2018-data-management-101-workshops/,11,6,13,11,1,6,0.008091
/catalog/portals/DBO,11,11,23,19,0.545454545,9,0.008057
/catalog/view/doi:10.18739/A24B2X46G,11,15,74,29,0.133333333,15,0.008022
/catalog/view/doi:10.18739/A2XD0QX7V,11,4,27,18,0.5,4,0.007988
/catalog/quality/doi:10.18739/A2QJ77Z28,11,10,13,12,0.9,10,0.007954
/catalog/view/doi:10.5065/D6VT1Q75,11,7,14,13,0.285714286,6,0.007921
/catalog/view/doi:10.18739/A21R6N07K,11,0,13,12,null,0,0.007888
/catalog/view/doi:10.18739/A2PV6B660,11,7,19,15,0.857142857,7,0.007855
/catalog/view/doi:10.5065/D6NP22KX,11,10,13,11,0.9,10,0.007822
/catalog/view/doi:10.18739/A25H7BT2D,11,2,24,20,0.5,2,0.00779
/catalog/view/doi:10.18739/A2VQ2S93X,11,4,24,16,0.5,4,0.007758
/catalog/view/doi:10.18739/A2TT4FS7G,11,2,18,16,0.5,2,0.007727
/catalog/view/doi:10.18739/A24Q7QP6V,10,5,13,10,0.4,5,0.007695
/catalog/view/doi:10.18739/A2SH27,10,11,13,11,0.727272727,11,0.007664
/catalog/view/doi:10.18739/A2ZS2KD0Z,10,3,20,14,1,3,0.007633
