event_label,users,total_events,unique_events
temperature,55,73,67
permafrost,21,26,25
toolik,17,32,31
salinity,17,23,21
Greenland,15,18,17
"Summit, Greenland",14,14,14
DBO,14,22,22
precipitation,13,17,16
2018 to 2019,12,19,14
NABOS,12,19,16
greenland,12,17,13
1800 to 2019,12,16,14
2018 to 2018,12,13,13
sea ice,12,15,13
CTD,12,16,14
MAR,12,17,16
Alaska,11,16,12
alaska,11,11,11
temperatur,11,12,12
discharge,11,20,15
SHEBA,11,14,11
ice,11,13,12
orcutt,11,15,14
snow,11,15,12
soil,10,13,12
summit,10,10,10
glacier,10,11,11
Igor Polyakov,10,15,13
romanovsky,9,23,20
2014 to 2018,9,10,9
polaris,9,18,18
2016 to 2018,9,9,9
methane,8,27,25
2015 to 2018,8,11,8
water,8,11,8
beaufort,8,9,9
CO2,8,9,8
2017 to 2018,8,11,9
radiosonde,8,11,10
Jacqueline M. Grebmeier,8,12,11
carbon,8,9,8
stafford,8,8,8
arctic,8,8,8
river,8,10,8
vegetation,8,8,8
nabos,8,14,13
ice core,7,12,11
density,7,7,7
Toolik Field Station,7,7,7
2019 to 2019,7,10,8
mooring,7,8,7
2017 to 2017,7,8,8
shipping,7,7,7
phenology,7,8,7
CALM,7,9,8
hollister,7,7,7
whale,7,11,9
noone,7,20,10
ADCP,7,11,8
Arctic,7,8,7
mercury,7,14,11
zooplankton,7,7,7
AON,6,8,6
Toolik,6,6,6
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasurementType,6,23,13
krause,6,8,8
sumup,6,9,9
2013 to 2018,6,6,6
mcconnell,6,6,6
2017 to 2019,6,10,7
polynya,6,8,8
carbon dioxide flux,6,13,11
2010 to 2017,6,8,7
matrai,6,15,10
"summit, greenland",6,6,6
austin post,6,10,10
nutrient,6,6,6
population,6,6,6
McConnell,6,6,6
NABOS-II,6,15,11
http://purl.dataone.org/odo/ECSO_00000536,6,21,12
1800 to 2018,6,9,7
polar bear,6,17,15
2009 to 2018,6,7,6
2015 to 2017,6,10,6
NPEO,6,8,8
SOIL TEMPERATURE,6,6,6
2015 to 2019,6,12,9
o-buoy,6,7,6
Svalbard,5,5,5
LeConte Glacier,5,5,5
siberia,5,10,9
Healy,5,7,6
borehole,5,8,6
polyakov,5,7,6
Arp,5,11,10
beth orcutt,5,7,6
seismic,5,7,6
Pickart,5,5,5
lomas,5,6,6
DeGrandpre,5,9,9
muenchow,5,10,9
Lee W. Cooper,5,10,8
2013 to 2017,5,9,5
vargas,5,20,9
heather alexander,5,7,6
helmig,5,9,9
mar,5,5,5
larch,5,7,6
lougheed,5,8,7
2015 to 2016,5,7,6
2011 to 2017,5,8,5
martin,5,10,8
goni,5,5,5
Barrow,4,4,4
co2 flux,4,11,8
2017,4,9,6
http://purl.dataone.org/odo/ECSO_00001105,4,6,5
2012 to 2017,4,6,4
obrist,4,5,5
biodiversity,4,6,6
air temperature,4,5,4
thermokarst,4,5,5
black carbon,4,4,4
Vladimir Romanovsky,4,5,5
2007 to 2018,4,4,4
perovich,4,5,4
Air temperature,4,4,4
photo,4,4,4
albedo,4,6,5
bathymetry,4,11,10
sigl,4,6,5
sediment,4,9,5
DEM,4,6,4
Joseph McConnell,4,5,5
model,4,4,4
netcdf,4,7,6
ABPR,4,5,4
polashenski,4,7,6
depth,4,4,4
flux,4,4,4
lidar,4,5,4
Phyllis J. Stabeno,4,5,4
mammal,4,5,5
BAID,4,6,5
ozone,4,8,7
Stabeno,4,5,4
beaufort gyre,4,7,5
2000 to 2018,4,4,4
2016 to 2019,4,6,4
1801 to 2019,4,4,4
fiducial,4,5,4
military,4,4,4
ludwig,4,15,14
2015,4,6,6
Arctic National Wildlife Refuge,4,5,4
carbon flux,4,7,5
2014 to 2017,4,11,4
2003 to 2018,4,5,5
fish,4,4,4
2012 to 2018,4,6,5
2011 to 2018,4,5,4
buoy,4,6,6
tweedie,4,6,5
Heather Alexander,4,6,6
calanus,4,4,4
dbo,4,4,4
nitrate,4,4,4
arp,4,5,4
ground temperature,4,4,4
Temperature,4,5,4
pickart,3,3,3
baid,3,5,5
stuefer,3,5,5
Frey,3,4,4
biomass,3,3,3
2013 to 2019,3,4,3
melt,3,4,4
snow depth,3,4,3
MOORING,3,3,3
greentracs,3,4,4
lter,3,4,4
toolik lake,3,17,13
icecaps,3,3,3
Bering Sea,3,3,3
isotope,3,3,3
par,3,3,3
2016 to 2017,3,4,3
Trusel,3,6,4
Sigl,3,4,4
Czimczik,3,3,3
oasis,3,3,3
Holmes,3,3,3
carbon dioxide,3,4,3
GIS,3,4,3
Arctic Ocean,3,3,3
svalbard,3,3,3
Ice Temperature,3,4,3
Alaska - Toolik Lake,3,4,3
alexander,3,4,4
radiation,3,3,3
wind,3,3,3
Vladimir E. Romanovsky,3,4,3
2010 to 2019,3,3,3
Antarctica,3,4,3
plant,3,4,3
Sergio Vargas,3,4,4
Jinlun Zhang,3,3,3
jeremy may,3,5,5
Sullivan,3,3,3
radar,3,3,3
sullivan,3,3,3
rowan,3,16,14
Krishfield,3,3,3
nolan,3,5,4
2008 to 2017,3,3,3
Hopcroft,3,3,3
oil,3,3,3
subglacial,3,3,3
taku,3,3,3
radiocarbon,3,3,3
1998 to 2019,3,4,3
juranek,3,3,3
2002 to 2019,3,3,3
DOC,3,5,4
Liljedahl,3,3,3
broadman,3,3,3
Kropp,3,4,4
degrandpre,3,5,5
microbial,3,3,3
post,3,3,3
fire,3,8,6
Andy Aschwanden,3,4,3
CALON,3,5,5
meehan,3,4,4
kling,3,4,4
Patrick Sullivan,3,3,3
sally,3,32,30
bird,3,3,3
lead,3,4,3
Hollister,3,9,6
1980 to 2019,3,5,4
bear,3,4,3
chemistry,3,4,4
E1,3,5,5
Pratt,3,4,3
aerial,3,6,6
mcraven,3,3,3
Anna Liljedahl,3,3,3
Models/Analyses,3,6,4
soil moisture,3,7,7
trusel,3,3,3
eicken,3,5,3
"Summit Station, Greenland",3,3,3
soil temperature,3,3,3
lynch,3,6,5
2010 to 2018,3,3,3
petrenko,3,4,4
1800 to 2017,3,3,3
Csank,3,4,4
cooper,3,3,3
1900 to 2019,3,8,4
holocene,3,3,3
alkire,3,3,3
metal,3,6,5
aufeis,3,3,3
heat flux,3,3,3
ricketts,3,5,5
Toolik Lake,3,3,3
pressure,3,3,3
rodda,3,4,3
itp,3,3,3
parsekian,3,3,3
proshutinsky,3,6,4
visibility,3,4,3
1950 to 2018,3,3,3
Kemnitz,3,3,3
2000 to 2019,3,5,3
summit greenland,3,3,3
ctd,3,3,3
aerosol,3,3,3
diatom,3,4,4
Social Science Interview,3,4,3
provenance,3,3,3
ndvi,3,4,4
caribou,3,3,3
Fuentes,3,6,4
invertebrate,3,3,3
Grebmeier,3,8,8
gould,3,7,6
Helmig,3,3,3
2009 to 2017,3,3,3
toxin,3,4,3
austin,3,3,3
2016 to 2016,3,3,3
Harper Simmons,2,2,2
tide,2,2,2
Teller,2,2,2
test,2,2,2
Luke Trusel,2,2,2
Laurier,2,2,2
CHAOZ,2,2,2
Shupe,2,2,2
dissolved,2,2,2
matt nolan,2,3,3
2005 to 2017,2,2,2
nagap,2,3,3
benjamin jones,2,3,2
kate stafford,2,3,3
plecoptera,2,2,2
10.18739/A21G22,2,2,2
DIC,2,2,2
winter,2,2,2
virkkala,2,5,5
Alkire,2,11,10
claire simpson,2,4,3
equus,2,3,3
heavy metal,2,3,3
2006 to 2017,2,2,2
Rowan McPherson,2,3,3
finger,2,2,2
FM02,2,4,4
O-Buoy,2,2,2
Carin J. Ashjian,2,3,2
2001 to 2018,2,2,2
geoscientificInformation,2,2,2
holland,2,3,3
Arctic ocean,2,2,2
2006 to 2018,2,2,2
Fram Strait,2,2,2
2014 to 2014,2,2,2
TOOLIK LAKE,2,3,3
paul shepson,2,2,2
sulfate,2,2,2
1956 to 2018,2,2,2
drone,2,2,2
beaufort sea,2,2,2
lomas krause,2,2,2
misp,2,2,2
carls,2,3,3
Ship,2,2,2
Zona,2,2,2
Anna K Liljedahl,2,2,2
holmes,2,2,2
METHANE,2,3,3
Helheim,2,4,3
betway,2,3,2
1971 to 2019,2,2,2
2007 to 2017,2,2,2
Sue Moore,2,2,2
routes,2,2,2
2016,2,2,2
longitude,2,2,2
1997 to 2019,2,4,2
parent,2,2,2
HLY,2,2,2
primary production,2,2,2
liljedahl,2,2,2
cherry,2,2,2
gas,2,2,2
Luke D. Trusel,2,2,2
Mooring,2,2,2
subice,2,2,2
Lena River,2,2,2
SBI,2,4,4
russia,2,2,2
oechel,2,6,5
"Microwave Radiometer measurements of sky brightness temperature taken at Summit Station, Greenland",2,2,2
2002 to 2018,2,2,2
video,2,2,2
Jones,2,2,2
salmon,2,2,2
hill,2,3,3
TSP,2,8,8
http://purl.dataone.org/odo/ECSO_00000656,2,2,2
E5,2,3,3
petrov,2,15,3
e1,2,14,14
intervalometer,2,4,4
water level,2,2,2
straneo,2,3,3
Andreas Muenchow,2,2,2
Dunton,2,2,2
Summit,2,2,2
sowers,2,4,3
ice mass balance buoys,2,2,2
zona,2,2,2
Loranty,2,4,3
tide gauge,2,2,2
1963 to 2018,2,2,2
lammers,2,2,2
SALLY,2,4,4
bromex,2,2,2
William Cable,2,3,3
Wood,2,4,4
2000 to 2017,2,2,2
Hasson,2,7,5
society,2,5,3
ocean,2,2,2
leconte glacier,2,2,2
Victoria J. Hill,2,2,2
2012 to 2012,2,4,3
EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES > MAMMALS > CARNIVORES > SEALS/SEA LIONS/WALRUSES,2,2,2
andrea pain,2,2,2
ground,2,5,2
10.18739/A21Z41S5S,2,2,2
governance,2,2,2
stable isotope,2,3,3
bennartz,2,2,2
Snow Depth,2,2,2
Stuefer,2,2,2
seal,2,2,2
1957 to 2018,2,2,2
1970 to 2018,2,2,2
Taku Glacier,2,2,2
nutrients,2,2,2
acoustic,2,2,2
vegetation cover,2,2,2
diversity,2,2,2
kite,2,2,2
ITEX,2,5,4
Jacobson,2,2,2
2018,2,2,2
1953 to 2018,2,4,3
social science,2,2,2
oil reserves,2,2,2
Wheeler,2,2,2
Joseph R. McConnell,2,2,2
EARTH SCIENCE > ATMOSPHERE > PRECIPITATION > RAIN,2,2,2
Chemistry,2,2,2
mcpherson,2,3,3
rainfall,2,2,2
Timling,2,2,2
paulson,2,2,2
lake ice,2,2,2
calm,2,2,2
doi:10.18739/A2QV3C39P,2,2,2
Post,2,2,2
2008 to 2018,2,2,2
krishfield,2,3,3
stanley,2,2,2
2012 to 2014,2,2,2
gaylord,2,2,2
bacteria,2,3,3
David Holland,2,2,2
PacMARS,2,6,5
e5,2,10,10
summer,2,6,6
1967 to 2018,2,2,2
Jihong Cole-Dai,2,2,2
turner,2,2,2
accumulation,2,2,2
environment,2,2,2
wickland,2,2,2
polaris project,2,4,3
thaw depth,2,8,4
abpr,2,2,2
education,2,2,2
HIARC,2,3,3
olivia miller,2,2,2
ziolkowski,2,2,2
UAF,2,3,2
Oberbauer,2,4,3
Muenchow,2,4,4
10.18739,2,3,2
Jianwu Tang,2,4,2
csv,2,3,2
kvile,2,4,4
SODA,2,2,2
reflectance,2,2,2
Victoria Hill,2,2,2
active layer,2,2,2
reanalysis,2,2,2
resource_map_doi:10.18739/A21V50,2,2,2
Proshutinsky,2,2,2
Marco Tedesco,2,3,3
point frame,2,3,2
Claudia Czimczik,2,3,3
bering strait,2,2,2
Lori Ziolkowski,2,4,3
Bayard,2,3,3
"Characterizing the Roles of Atmospheric Structure and Clouds on the Radiation and Precipitation Budgets at Summit, Greenland",2,2,2
2014 to 2016,2,2,2
currents,2,2,2
Goetz,2,3,3
e6,2,5,5
ashjian,2,2,2
SMB,2,2,2
north pole,2,2,2
shapefile,2,2,2
pettersen,2,5,5
summit temperature,2,2,2
world avoided,2,2,2
2013,2,3,3
arienzo,2,3,3
Christopher Arp,2,2,2
lake,2,2,2
oceans,2,2,2
bouy,2,2,2
meteorological,2,2,2
sizonet,2,3,3
Ice Thickness,2,2,2
evans,2,2,2
bathymetry e1,2,2,2
dust,2,2,2
kevin wood,2,4,3
n2,2,5,4
Zhang,2,2,2
AWS,2,3,2
davis strait,2,3,2
artic,2,2,2
aschwanden,2,2,2
Ned Fetcher,2,2,2
czimczik,2,6,4
tunu,2,3,3
junge,2,2,2
http://purl.dataone.org/odo/ECSO_00003084,2,3,3
sea level,2,2,2
safety,2,2,2
kemnitz,2,3,3
miles,2,2,2
bathymetric data from,2,3,2
George Kling,2,3,3
BLE,2,3,3
doi:10.18739/A2RF5KF5N,2,3,2
erosion,2,2,2
pain,2,3,3
2000 to 2016,2,2,2
IASOA,2,3,2
yang yu,2,4,3
bering sea,2,4,3
cohen,2,2,2
hasson,2,4,4
2019 to 2018,2,2,2
ice wedge,2,2,2
1949 to 2018,2,2,2
warming,2,2,2
2018 to 2017,2,2,2
bromine,2,2,2
ice thickness,2,2,2
frey,2,2,2
sounding,2,2,2
cloud cover,2,3,2
practicalsalinityunit,2,2,2
adcp,2,2,2
Degrandpre,2,2,2
daniels,2,2,2
zhang,2,2,2
HEALY,2,2,2
McClelland,2,3,2
Karen Smith,2,2,2
species,2,2,2
1900 to 2018,2,3,2
cox,2,7,4
greenland temperature,2,2,2
Beaufort,2,2,2
huang,2,6,5
arctic system,2,2,2
Polyakov,2,2,2
Olivia Miller,2,2,2
LTER,2,2,2
Lake Peters,2,3,3
BROMEX,2,2,2
wave,2,3,3
shortwave,2,2,2
leconte,2,2,2
barkay,2,3,3
neem,2,3,3
beth,2,2,2
Mayewski,2,2,2
volcanic,2,3,2
wetlands,2,2,2
ernakovich,2,3,3
Bathymetric,2,2,2
GNET,2,2,2
tundra,2,2,2
weather,2,2,2
david holland,2,2,2
laptev,2,4,2
daanen,2,4,3
may,2,3,3
1918 to 2018,2,2,2
plant phenology,2,2,2
2004 to 2017,2,2,2
SUMup,2,6,5
paleoclimate,2,3,3
icethick,2,2,2
http://purl.dataone.org/odo/ECSO_00000665,2,2,2
Daanen,2,2,2
carbon monoxide,2,3,3
moisture,2,4,3
Mooring D,2,3,3
gooseff,2,2,2
barrow,2,2,2
ViPER,2,2,2
vandecrux,2,3,3
china,2,4,2
1825 to 2019,2,4,3
surface sediment,2,3,3
Tsigaridis,2,2,2
economic,2,3,3
moore,2,2,2
Greenland Summit,2,2,2
SWL,2,3,3
Andrey Proshutinsky,2,2,2
mattmann,2,2,2
GISP2,2,2,2
2011,2,3,3
jacobson,2,3,3
boundaries,2,3,3
firn,2,2,2
cooperation,2,3,2
wood,2,3,3
arrigo,2,2,2
nicewonger,2,5,4
reindeer,2,2,2
2003 to 2017,2,2,2
BGOS,2,2,2
pamir,2,2,2
Siberia,2,2,2
stomatal conductance,2,3,3
jakobshavn,2,2,2
co2,2,3,2
young,2,2,2
watershed,2,3,2
Three Dimensional Computer Simulations of Maxwell Equations and Snow Microstructures for Active and Passive Microwave Observations of Snow on Sea Ice in a Changing Climate,2,2,2
sheba,2,2,2
Howard Epstein,2,2,2
oxygen,2,11,11
cryosphere models,2,3,2
Firn,2,2,2
Leah,2,2,2
number,2,2,2
kuparuk,2,2,2
Lomas,2,2,2
pCO2,2,2,2
svetlana,2,2,2
ATWAIN,2,2,2
Th,2,2,2
satellite,2,2,2
fetcher,2,2,2
carothers,2,2,2
TS3,2,2,2
bonanza,2,3,2
Polaris,2,2,2
country,2,3,3
mauritz,2,5,4
Distributed Biological Observatory,2,3,3
blanchard,2,2,2
1994 to 2018,2,2,2
2002 to 2002,2,2,2
1999 to 2019,2,3,2
friedman,2,2,2
Nicholas Hasson,2,4,3
Kholodov,1,1,1
ice mass balance buoy,1,2,2
1951 to 2018,1,1,1
bdoc,1,1,1
practical salinity unit,1,1,1
imagery,1,1,1
carbon emission,1,2,1
global governance,1,1,1
#view/urn:uuid:1b96e994-20a1 -4445-a327-3256c040034f,1,1,1
radiosondes,1,1,1
phenocam,1,1,1
lachniet,1,1,1
Deming,1,4,3
beaudreault,1,1,1
Ellie Broadman,1,1,1
vargas phenocam,1,1,1
0 to 2019,1,1,1
1970 to 2019,1,1,1
Joel Harper,1,1,1
simpson,1,1,1
consumption,1,1,1
penny ice cap,1,2,1
canada,1,3,2
remote sensing,1,1,1
hiarc,1,1,1
Detlev Helmig,1,1,1
DYE3,1,1,1
pb,1,1,1
ice cover,1,1,1
michael moody,1,1,1
snow coverage,1,1,1
.txt,1,1,1
snowfence,1,1,1
1850 to 1868,1,1,1
melting sea,1,1,1
1850 to 1902,1,1,1
birds,1,1,1
dropsonde,1,4,3
pco2,1,1,1
PACMARS,1,2,2
PH,1,1,1
pointframe,1,1,1
10.1016/j.soilbio.2018.02.002,1,1,1
Austin S. Post,1,1,1
лшкшддщм,1,1,1
2015-2016,1,2,2
2002 to 2012,1,1,1
WEEKLY TO MONTHLY,1,1,1
velocity,1,1,1
arctic pole,1,1,1
numheaderlines,1,1,1
v5,1,1,1
GC-Net,1,1,1
1850 to 1888,1,1,1
Bering,1,1,1
firn temperatur,1,1,1
Greenlabd,1,1,1
walter-anthony,1,1,1
1850 to 1865,1,1,1
surface energy balance,1,1,1
arctic coastal plain,1,2,2
Koenig,1,1,1
2013 to 2016,1,1,1
1806 to 2019,1,1,1
daily,1,1,1
dbo3,1,1,1
M8,1,1,1
north pacific,1,1,1
animalia,1,1,1
Jennie McLaren,1,1,1
0000-0002-5511-9717,1,1,1
marine route,1,1,1
Falk Huettmann,1,2,2
1830 to 2019,1,1,1
Greenland slug test Miller,1,1,1
snowmodel alaska,1,1,1
cadmium,1,1,1
Mikhail Kanevskiy,1,1,1
greenland ice temperature,1,2,1
tif,1,1,1
seabeam,1,2,1
"Qikiqtarjuaq, Nunavut",1,1,1
harris 2017,1,1,1
peters,1,1,1
urn:uuid:c5d13183-0e4f-4008-9492-b53b2cd40a26,1,1,1
urn:uuid:f381ee1c-66ba-457e-84cc-5e9fb57e5f70,1,1,1
roms,1,1,1
sber,1,1,1
1850 to 1859,1,1,1
MAR v3.2,1,1,1
subbottom,1,1,1
urn:uuid:d337c3bb-f536-4f4f-a103-e36737958898,1,1,1
Canada's Three Oceans (C3O) - DBO 2010,1,1,1
OASIS,1,2,2
sturm,1,1,1
mcclelland,1,1,1
lake n2,1,1,1
Cooper,1,1,1
concentration,1,4,2
Arctic CTD,1,1,1
1962 to 2014,1,1,1
mast,1,1,1
DBO6,1,1,1
Ellyn Enderlin,1,1,1
Greenland 10Be,1,1,1
runoff,1,1,1
A. Kotani,1,1,1
SWL14 Bottle data,1,1,1
"Hydrographic Data, Upper Kuparuk River Watershed, Alaska, 1993-2017",1,1,1
Obrist,1,1,1
2003 to 2012,1,1,1
Beaufort Lagoon,1,1,1
vavrus,1,2,1
dissolved organic carbon,1,2,2
natali,1,1,1
Year-round soil pore space carbon dioxide and temperature at Toolik Field Station,1,1,1
arctic grayling,1,1,1
2002 to 2009,1,1,1
2011 to 2016,1,1,1
1974 to 2018,1,1,1
2010 to 2015,1,1,1
snowdepth,1,1,1
2001 to 2000,1,1,1
Carbon monoxide (CO) measurements in ice cores from Greenland Summit: investigation of in situ CO production,1,1,1
Arctic EIS Fish Catch per Unit Effort (CPUE),1,1,1
wanamaker,1,2,2
ocean current,1,1,1
David Noone,1,1,1
Campsite Lake,1,2,1
1850 to 1919,1,1,1
LANE,1,1,1
sound,1,1,1
10.1016,1,1,1
100,1,1,1
info79Roll5,1,1,1
isotope 230Th,1,1,1
international arctic buoy program,1,1,1
tristan amaral,1,1,1
MESOZOOPLANKTON,1,2,1
ICECAPS,1,2,1
AOS-94,1,1,1
meares' glacier,1,1,1
75v3,1,1,1
"Grieman, 2016",1,2,2
density anomaly,1,1,1
mayer,1,1,1
pettit,1,1,1
ALISS,1,2,2
DEM north slope,1,1,1
lanbda,1,1,1
