Page,Users,Sessions,Pageviews,Unique Pageviews,Bounce Rate,Entrances,Users % of Total
/,5847,8522,11139,9480,0.497301103,8526,0.220733
/catalog,2271,1302,6536,4887,0.211981567,1216,0.153233
/catalog/data,1864,1894,8697,4612,0.289334741,1846,0.125612
/about/,612,191,940,781,0.591623037,192,0.099985
/upcoming-data-science-training-for-arctic-researchers/,600,612,858,768,0.823529412,612,0.084518
/catalog/profile,456,121,855,685,0.570247934,120,0.073301
/data-portals/,444,418,877,679,0.576555024,418,0.065224
/team/,398,184,605,510,0.744565217,185,0.058949
/catalog/submit,387,197,1093,788,0.52284264,199,0.054022
/submit/,362,305,776,615,0.698360656,308,0.049987
/catalog/portals/permafrost/,305,357,459,391,0.773109244,356,0.046489
/publications/,295,92,466,350,0.652173913,92,0.043543
/catalog/portals/permafrost,289,315,534,435,0.803174603,315,0.041033
/upcoming-,258,257,258,258,0.996108949,257,0.038798
/catalog/share,250,165,549,459,0.478787879,162,0.03684
/blog/2020/06/bringing-arctic-data-into-undergraduate-classrooms/,240,255,297,277,0.792156863,255,0.035104
/social-scientific-data-workshop/,232,261,537,418,0.781609195,261,0.033554
/training/,231,135,475,323,0.444444444,135,0.032175
/q-and-a/,216,34,376,299,0.441176471,34,0.030911
/catalog/data/my-data,211,75,1238,720,0.12,79,0.029763
/catalog/edit/portals,209,38,436,333,0.552631579,38,0.028722
/support/,180,31,343,270,0.451612903,31,0.027725
/catalog/signin,167,36,460,405,0.138888889,36,0.026794
/employment-opportunities/,154,64,217,190,0.71875,64,0.02592
/working-with-data/,150,20,325,238,0.5,20,0.025109
/catalog/portals/CALM,146,62,207,181,0.596774194,62,0.024356
/catalog/portals/DBO,135,136,359,285,0.558823529,135,0.023642
/category/news/,131,118,210,192,0.542372881,118,0.022974
/data-plans/,129,98,176,154,0.867346939,98,0.02235
/reconciling-historical-and-contemporary-trends-in-terrestrial-carbon-exchange-of-the-northern-permafrost-zone/,115,150,190,170,0.873333333,150,0.02175
/catalog/view/doi:10.18739/A21R6N14K,114,139,202,166,0.776978417,140,0.021187
/home.htm,106,114,135,118,0.649122807,114,0.02065
/category/blog/,96,21,306,213,0.523809524,21,0.020134
/catalog/portals/reportcard,88,128,271,197,0.578125,126,0.01964
/catalog/portals/dbo,86,50,135,114,0.6,49,0.019171
/catalog/data/page/2,84,5,262,109,0.2,6,0.018727
/history/,84,12,122,99,0.5,12,0.018306
/catalog/view/doi:10.18739/A25T3FZ8X,84,99,132,108,0.606060606,99,0.017908
/preservation/,81,44,129,103,0.636363636,44,0.017527
/news/2017/08/employment-opportunities/,77,14,81,78,0.714285714,14,0.017162
/synthesis-working-groups/,75,11,105,90,0.454545455,11,0.016812
/catalog/view/doi:10.5065/D69G5JX5,71,107,133,108,0.728971963,107,0.016476
/catalog/view/doi:10.18739/A26D5PB2S,68,59,124,101,0.745762712,59,0.016152
/catalog/view/doi:10.18739/A2S17SS80,65,121,188,162,0.760330579,119,0.015841
/catalog/portals/toolik,64,81,235,167,0.604938272,80,0.015543
/news/2020/05/arctic-data-center-portals/,64,23,93,77,0.47826087,23,0.015257
/news/2020/04/coretrustseal-certification/,63,42,97,87,0.880952381,42,0.014983
/blog/2018/07/dataset-highlight-investigating-rotten-ice-with-dr-karen-junge/,58,54,62,58,0.833333333,54,0.014717
/catalog/view/doi:10.18739/A26M3340D,53,64,105,84,0.671875,63,0.014457
/blog/2020/07/find-the-arctic-data-center-at-the-esa-2020-virtual-meeting/,53,39,105,82,0.897435897,39,0.014208
/news/2019/07/call-for-abstracts-third-polar-data-forum-pdf-iii/,52,8,54,54,0.875,8,0.013968
/catalog/my-profile,52,45,151,114,0.244444444,45,0.013737
/catalog/view/doi:10.18739/A2ZS2KD0Z,51,48,70,65,0.8125,48,0.013514
/catalog/portals/DBO/Data,50,35,117,81,0.6,35,0.013299
/catalog/view/doi:10.18739/A2222R601,50,47,59,56,0.744680851,47,0.013092
/category/news/page/2/,48,0,48,48,null,0,0.01289
/catalog/portals/permafrost/About,48,47,73,62,0.914893617,47,0.012696
/news/2019/07/2019-arctic-data-center-data-science-trainings/,47,3,48,47,0.333333333,3,0.012507
/news/2017/02/proposals/,46,2,47,46,0.5,2,0.012325
/catalog/view/doi:10.18739/A20P0WQ7M,46,47,54,47,0.744680851,47,0.012148
/catalog/data/page/3,46,8,139,66,0.375,6,0.011978
/news/2016/04/webinar-recap-nsf-arctic-data-center-overview/,45,0,50,46,null,0,0.011812
/blog/2020/02/researcher-profiles-and-highlights-october-2019/,45,12,75,57,0.916666667,12,0.011651
/catalog/view/doi:10.18739/A2JH3D23R,45,51,79,61,0.352941176,51,0.011496
/catalog/view/doi:10.18739/A2599Z216,43,32,59,45,0.78125,32,0.011344
/catalog/view/doi:10.18739/A23R0PT35,43,58,108,76,0.655172414,58,0.011197
/news/2017/03/arctic-data-center-training-workshop/,43,1,43,43,0,1,0.011054
/news/2018/10/arctic-data-center-at-agu-2018-december-10-14-2018/,43,0,43,43,null,0,0.010915
/catalog/view/doi:10.18739/A2VC2G,41,49,58,50,0.734693878,49,0.010779
/news/2018/03/call-for-synthesis-working-group-proposals/,41,1,41,41,1,1,0.010648
/catalog/data/mode=list,40,4,136,60,0.25,5,0.010519
/news/2017/06/webinar-registration-open-tools-and-strategies-for-archiving-data/,40,0,40,40,null,0,0.010394
/catalog/view/doi:10.18739/A2KG55,40,43,60,43,0.604651163,43,0.010272
/news/2018/08/call-for-applicants-january-2019-data-science-training/,40,1,40,40,1,1,0.010154
/news/2018/06/polar-2018-workshop-presentation-slides-now-available-online/,40,1,40,40,1,1,0.010038
/news/2018/08/arctic-data-center-will-be-at-the-ecological-society-of-america-esa-annual-meeting-5-10-august-2018/,39,0,39,39,null,0,0.009926
/news/2016/03/press-release/,39,0,39,39,null,0,0.009816
/news/2017/12/the-thomas-fire-in-santa-barbara/,39,0,39,39,null,0,0.009709
/news/2018/06/arctic-data-center-workshops-at-polar-2018-15-23-june-2018/,38,0,38,38,null,0,0.009604
/catalog/view/ZG9pJTNBMT,38,37,38,38,1,37,0.009502
/blog/2020/10/getting-credit-for-data-creation-and-curation/,38,37,82,63,0.837837838,37,0.009402
/catalog/view/doi:10.18739/A2B56D46X,38,30,42,42,0.9,30,0.009305
/catalog/view/doi:10.5065/D66Q1VB7,38,72,97,75,0.694444444,71,0.00921
/news/2017/05/call-for-applications-data-science-training-for-arctic-research/,38,0,38,38,null,0,0.009118
/news/2016/12/dataone-welcomes-the-arctic-data-center-as-its-36th-member-node/,38,0,38,38,null,0,0.009027
/catalog/view/doi:10.18739/A24X54G9W,36,28,52,43,0.857142857,28,0.008938
/catalog/view/doi:10.18739/A22Z12P4J,36,57,81,66,0.754385965,58,0.008851
/catalog/view/doi:10.18739/A24M9198B,36,42,55,47,0.619047619,42,0.008766
/catalog/view/doi:10.18739/A2CR5NB9R,36,39,46,44,0.923076923,39,0.008683
/catalog/view/dXJuOnV1aW,36,35,36,36,0.971428571,35,0.008601
/catalog/portals/PerCS-Net,35,42,89,72,0.571428571,42,0.008521
/catalog/view/urn:uuid:9f079e66-19eb-47e1-9bbd-340f72b890c4,34,25,49,39,0.88,25,0.008443
/catalog/view/doi:10.18739/A2599Z26M,34,39,74,55,0.846153846,38,0.008366
/catalog/view/doi:10.18739/A2985M,33,42,64,50,0.404761905,41,0.00829
/catalog/view/doi:10.18739/A2G27V,32,31,39,38,0.580645161,31,0.008216
/catalog/view/doi:10.18739/A24X0Q,32,25,45,35,0.6,25,0.008143
/catalog/view/doi:10.5065/D6N014HK,32,36,44,37,0.833333333,36,0.008071
/catalog/view/doi:10.18739/A2QR4NR5X,31,30,32,32,1,30,0.008001
/catalog/view/doi:10.18739/A2CD5M,31,30,43,34,0.566666667,30,0.007932
/blog/2019/12/arctic-data-center-at-american-geophysical-union-2019/,31,11,52,38,0.909090909,11,0.007864
/catalog/view/doi:10.18739/A29G5GD77,31,25,54,43,0.64,25,0.007798
/catalog/view/doi:10.18739/A2VH5CJ92,30,27,30,30,1,27,0.007732
/catalog/view/doi:10.18739/A2CF9J745,30,23,37,34,0.956521739,23,0.007668
/catalog/view/doi:10.18739/A2FX73Z1F,30,18,41,37,0.611111111,17,0.007605
/catalog/view/doi:10.18739/A29P2W69D,29,16,41,32,1,16,0.007543
/catalog/view/doi:10.18739/A2901ZG3N,29,24,85,60,0.583333333,24,0.007483
/download/fileDownload.htm,28,28,28,28,1,28,0.007423
/catalog/view/doi:10.18739/A21J9779S,28,29,53,41,0.689655172,29,0.007364
/catalog/view/doi:10.18739/A2RF5KF5N,28,27,40,33,0.740740741,27,0.007306
/catalog/view/doi:10.18739/A2FX73Z6V,28,24,48,36,0.833333333,24,0.007249
/upcoming-data-science-training-for-arctic-researchers/?fbclid=IwAR1Y6Y_Q-AU2R_Zm7DM1R-ZXkX1JUY-Rf5mBcufI430td3xuDcfAmu8xAW0,28,29,33,30,0.827586207,29,0.007193
/catalog/view/doi:10.18739/A27S7HS5V,28,17,43,36,0.647058824,17,0.007138
/catalog/view/doi:10.18739/A2H70817C,27,22,30,29,1,22,0.007084
/catalog/portals/permafrost/News,27,7,36,35,0.428571429,7,0.007031
/catalog/view/doi:10.18739/A24X54G8D,27,7,49,36,0.428571429,9,0.006979
/catalog/view/doi:10.18739/A20863642,27,25,27,27,1,25,0.006927
/catalog/view/doi:10.18739/A2KW57J9Q,27,22,53,38,0.681818182,22,0.006877
/catalog/view/doi:10.18739/A2B56D49C,26,17,29,28,0.823529412,17,0.006827
/catalog/view/doi:10.18739/A2PC2T94T,26,17,43,40,0.764705882,17,0.006778
/catalog/view/doi:10.18739/A2F76672G,26,29,54,49,0.724137931,29,0.00673
/catalog/projects/DBO,26,42,59,49,0.547619048,41,0.006682
/catalog/portals/reportcard/Data,26,61,492,206,0.245901639,61,0.006635
/catalog/view/urn:uuid:8e068357-985b-4986-993a-f36c98082609,25,38,67,53,0.842105263,38,0.006589
/catalog/view/doi:10.18739/A2RN3081R,25,19,50,36,0.684210526,19,0.006543
/catalog/view/doi:10.18739/A2M61BQ93,25,20,37,30,0.95,20,0.006499
/catalog/view/doi:10.18739/A28P5V92S,25,19,41,33,0.684210526,19,0.006455
/catalog/view/doi:10.18739/A2HD7NT5N,25,16,36,32,0.875,16,0.006411
/january-2019-data-science-training-for-arctic-researchers/,25,20,37,28,0.4,20,0.006369
/catalog/view/doi:10.18739/A2W66990B,25,26,28,27,0.923076923,26,0.006326
/catalog/view/doi:10.18739/A2TM7216N,25,20,47,38,0.45,20,0.006285
/catalog/portals/DBO/Metrics,24,15,44,33,0.533333333,15,0.006244
