Page,Users,Sessions,Pageviews,Unique Pageviews,Bounce Rate,Entrances,Users % of Total
/view/urn:uuid:ed073aea-8923-4625-9335-5da48977a93f,15,9,35,26,0.333333333,9,0.027976
/view/arctic-data.6185.2,14,3,40,28,0,4,0.027668
/view/arctic-data.1575.1,14,9,42,33,0.222222222,9,0.027366
/view/arctic-data.3958.1,14,3,21,18,0.666666667,3,0.027072
/view/autogen.2016032221524829393.5,14,8,41,22,0.25,8,0.026785
/view/arctic-data.9408.3,14,5,26,19,0.2,5,0.026505
/profile/http://orcid.org/0000-0002-1681-9032,14,3,26,16,0,3,0.026231
/view/arctic-data.9408.4,14,0,23,18,null,0,0.025963
/view/urn:uuid:714670dd-434f-49ac-a5c9-ff6cdcad5f91,14,2,21,16,1,3,0.025701
/view/arctic-data.9394.1,14,7,122,29,0.142857143,7,0.025445
/view/doi:10.18739/A2136S,14,0,23,19,null,1,0.025195
/view/doi:10.18739/A2M64B,14,12,36,28,0.666666667,12,0.02495
/view/doi:10.5065/D6G44N6Q,13,9,31,20,0.333333333,9,0.024708
/view/urn:uuid:9f967a18-997a-4f8b-816d-39e4a0b9d74b,13,1,18,16,0,1,0.024472
/view/urn:uuid:6c141d0a-15c2-434e-bff3-3133e3fc6508,13,6,52,22,0.333333333,6,0.02424
/view/doi:10.18739/A2892H,13,7,37,25,0.428571429,7,0.024013
/view/doi:10.18739/A2K31V,13,2,22,18,0.5,2,0.023791
/view/arctic-data.3948.1,13,3,17,13,0.666666667,3,0.023574
/view/arctic-data.9411.1,13,1,33,18,0,1,0.023361
/view/doi:10.18739/A2DP96,13,8,19,15,0.5,8,0.023152
/profile/http://orcid.org/0000-0002-1586-0121,13,1,22,16,0,1,0.022947
/dataset/ucar.ncar.eol.dataset.56_958.txt,13,13,13,13,1,13,0.022746
/view/arctic-data.6194.1,13,2,32,17,0.5,2,0.02255
/view/doi:10.18739/A2P058,13,0,25,18,null,0,0.022357
/view/arctic-data.9519.1,13,3,83,34,0,3,0.022167
