event_label,users,total_events,unique_events
druffel,4,10,9
economic,4,4,4
Healy,4,8,7
1023371,4,6,6
2014 to 2014,4,11,6
a4,4,7,6
SUMup,4,5,5
cortes,4,17,16
co2,4,6,5
grebmeier,4,6,5
255.068,4,6,5
ORCUTT,3,4,4
peat,3,5,3
Walter Anthony,3,5,5
1993,3,12,11
Pickart,3,6,4
Campbell,3,4,4
Susan Natali,3,3,3
profile,3,5,4
1991 to 1991,3,6,5
Taylor,3,3,3
chlorophyll,3,3,3
shorebird,3,3,3
1968,3,7,6
Nolan,3,5,4
1988 to 1988,3,4,4
snow depth,3,3,3
tedesco,3,3,3
ITEX,3,3,3
joseph mcconnell,3,3,3
fisheries,3,3,3
Arctic Ocean,3,3,3
wind,3,4,4
lindsay carlson,3,5,5
active layer thickness,3,3,3
fishing,3,3,3
1991,3,9,8
test,3,3,3
1984 to 1984,3,4,4
1994 to 1994,3,3,3
Carin J. Ashjian,3,3,3
Richard Krishfield,3,3,3
spall,3,11,8
1994 to 2016,3,3,3
1504394,3,3,3
2006 to 2015,3,3,3
herbivory,3,3,3
lake peters,3,3,3
2015,3,6,5
thermokarst,3,3,3
penguin,3,4,3
deplid,3,3,3
1981,3,7,6
2009 to 2014,3,3,3
walrus,3,3,3
Cahill,3,4,4
buoy,3,3,3
1995,3,7,7
climate change,3,3,3
2005 to 2014,3,4,3
Romanovsky,3,5,4
sir wilfrid laurier,3,3,3
Bales,3,4,3
petrenko,3,7,7
1969,3,6,6
Lynn Montgomery,3,4,3
Sullivan,3,4,4
pdf,3,3,3
saltzman,3,6,5
iabp,3,7,5
1994,3,15,11
economy,3,4,4
Matrai,3,4,4
matt nolan,3,203,90
calm,3,3,3
2005 to 2015,3,3,3
catlin,3,6,5
doi:10.5065/D6B85696,3,7,6
gilmore,3,4,4
ozone,3,4,3
2008 to 2016,3,5,3
Robert Campbell,3,6,5
2010 to 2010,3,10,6
ngee,3,3,3
itex,3,3,3
Pulsifer,3,3,3
2006 to 2017,3,3,3
d18O,3,3,3
doi:10.18739/A28S5G,3,7,6
lori,3,3,3
human,3,4,4
2008 to 2014,3,3,3
fire,3,4,4
sergio,3,3,3
Victoria Hill,3,3,3
plant phenology,3,7,3
Loose,3,5,5
2013,3,3,3
sullivan,3,9,6
1978,3,10,8
2003 to 2014,3,3,3
pickart,3,5,4
litter,3,3,3
1798 to 2017,3,3,3
bottle,3,4,4
2010 to 2011,3,6,4
Hobbie,3,4,3
1987,3,9,8
Igor Polyakov,3,13,7
2012 to 2012,3,4,3
1203533,3,3,3
year,3,12,7
1973 to 1973,3,5,4
coast,3,4,3
1979,3,8,8
Mike DeGrandpre,3,3,3
1973,3,10,10
time series,3,3,3
best,3,3,3
camill,3,5,5
von walden,3,3,3
GRO,3,5,4
pCO2,3,7,4
acadis,3,3,3
sst,3,3,3
Kathleen M Stafford,3,4,4
jeremy may,3,4,4
bnz,3,4,4
urn:uuid:19fef645-be5d-42ef-b050-4ec8c2fdf034,3,7,6
lara,3,3,3
bayard,3,3,3
wang,3,3,3
2013 to 2014,3,4,3
bergin,3,5,4
Welker,3,4,4
bering,3,3,3
2002 to 2014,3,3,3
Vargas,3,5,4
wetland,3,3,3
2016,3,3,3
sea ice thickness,3,3,3
aon,3,3,3
Ceilometer,3,3,3
Eicken,3,3,3
arienzo,3,4,4
Alexander Kholodov,3,5,4
Cable,3,4,3
rajagopalan,3,4,4
1976,3,13,7
Gilmore,3,4,4
2003 to 2017,3,4,3
ITP32,3,5,4
eol,3,3,3
1993 to 1997,3,5,5
cooper,3,3,3
surface,3,3,3
levy,3,5,4
1992 to 1992,3,3,3
global,3,4,4
