event_label,users,total_events,unique_events
1,87,124,107
polyakov,39,131,99
mcconnell,29,55,44
beilman,27,59,44
chin,25,47,35
Polyakov,24,72,46
temperature,21,29,28
permafrost,18,18,18
stafford,15,26,26
sea ice,14,18,14
o-buoy,14,31,24
simpson,13,19,19
nabos,13,26,21
1800 to 2015,13,17,17
sizonet,13,25,20
1800 to 2016,12,20,20
hollister,12,25,16
DBO,12,17,15
Ashjian,12,32,28
welker,12,27,16
ashjian,12,24,20
2016 to 2016,11,53,44
NABOS,11,13,12
CTD,10,15,14
greenland,10,10,10
kelly,10,33,19
mankoff,10,15,15
eissenstat,10,23,18
bathymetry,10,14,11
salinity,10,14,12
fortin,10,42,33
igor,10,10,10
McConnell,10,25,21
CALON,9,18,17
NPEO,9,11,10
MAR,9,9,9
bierman,9,14,11
shipping,9,9,9
rhodes,9,16,15
ice core,9,13,12
eicken,8,10,8
Romanovsky,8,10,8
Summit,8,10,9
mar,8,11,11
2015 to 2016,8,36,29
ice,8,10,9
2010 to 2015,8,10,9
2011 to 2015,8,13,9
Joseph McConnell,8,11,9
borehole,8,12,11
tedesco,7,7,7
collaborative,7,7,7
2008 to 2015,7,7,7
zooplankton,7,13,11
alaska,7,7,7
856531,7,16,11
ctd,7,10,8
2015 to 2015,7,17,15
Robert Hollister,7,9,9
dbo,7,7,7
hamilton,6,17,11
Barrow,6,11,9
2014 to 2016,6,7,7
methane,6,9,7
A3,6,7,7
Higuera,6,8,7
buoy,6,6,6
snow,6,6,6
Welker,6,11,8
1799 to 2016,6,10,10
bahr,6,9,9
osterberg,6,15,9
Shupe,6,7,6
darby,6,13,8
arienzo,6,7,7
A2,6,8,8
itex,6,7,6
glacier,6,7,6
Greenland,6,7,6
Alkire,6,16,15
Stafford,6,8,6
orcutt,6,6,6
flywheel,6,7,7
suzanne tank,6,12,10
woodgate,6,13,10
oberbauer,6,7,6
SHEBA,6,7,7
oil,6,10,10
matrai,5,9,9
1107411,5,13,10
krishfield,5,5,5
Alaska,5,5,5
Marco Tedesco,5,6,6
2009 to 2015,5,5,5
kling,5,10,10
2011 to 2016,5,6,6
1204082,5,8,8
North Pole Environmental Observatory,5,9,8
neuer,5,15,12
o-buoy4,5,5,5
2013 to 2016,5,5,5
Lohmann,5,14,12
kaufman,5,5,5
424864,5,12,7
arctic-data.7791.1,5,12,10
soil,5,5,5
density,5,5,5
Okkonen,5,8,7
ricketts,5,8,7
david fortin,5,11,9
arctic-data.6196.1,5,12,10
Cooper,5,5,5
Kelly,5,11,10
1263005,5,5,5
tank,5,9,8
2010 to 2016,5,8,7
ICECAPS,5,6,5
active layer,5,6,5
Detlev Helmig,5,8,7
Matrai,5,12,10
1304879,5,6,6
arctic-data.7734.1,5,9,6
arctic,5,5,5
2007 to 2016,5,5,5
Andrey Proshutinsky,5,6,5
Hajo Eicken,5,5,5
2014 to 2015,5,6,6
seles,5,7,6
2008 to 2010,5,6,6
Svalbard REU,5,6,5
Joseph R. McConnell,5,5,5
briner,5,5,5
pelto,5,6,5
Bering Sea,5,7,7
kocis,4,7,4
swl15,4,12,9
swl,4,6,6
1801 to 2016,4,4,4
2013 to 2015,4,4,4
PacMARS,4,5,4
campbell,4,6,5
cahoon,4,10,6
PARTNERS,4,7,6
infrastructure,4,4,4
morison,4,5,5
Carin Ashjian,4,5,5
Oberbauer,4,13,9
pdf,4,4,4
lohmann,4,5,5
ITEX,4,4,4
NEEM,4,4,4
romanovsky,4,6,5
A2W,4,5,5
Beilman,4,8,4
SUNA,4,5,5
1107942,4,7,6
Upadhya,4,6,5
Proshutinsky,4,6,5
meredith,4,5,5
Lee W. Cooper,4,6,5
summit,4,4,4
arctic-data.6192.1,4,9,7
Natali,4,6,6
1262871,4,5,4
whale,4,7,5
walden,4,4,4
degrandpre,4,16,11
polar bear,4,8,6
Jacqueline M. Grebmeier,4,6,6
monica,4,18,11
obuoy2,4,7,6
weather,4,5,5
1023537,4,12,11
hajo eicken,4,6,6
1203486,4,6,4
2008 to 2016,4,5,5
natali,4,7,7
barrow,4,5,5
proshutinsky,4,4,4
Igor,4,8,6
mcconnel,4,6,6
BEST,4,4,4
loranty,4,9,8
A4,4,5,5
1800 to 2014,4,6,4
D'Andrea,4,4,4
Linnedalen,4,5,4
precipitation,4,5,5
bering strait,4,4,4
2012 to 2015,4,4,4
1432277,4,7,4
kholodov,4,5,5
Grebmeier,4,15,10
chukchi,4,4,4
Bierman,4,7,7
obuoy,4,9,9
grebmeier,4,4,4
Morison,4,4,4
Fortin,4,7,6
sheba,4,5,4
AON,4,4,4
doi,4,5,5
2014 to 2014,3,3,3
seal,3,4,3
caissie,3,7,6
shapefile,3,3,3
steele,3,5,5
calon,3,8,7
detlev,3,4,4
nobre,3,3,3
